585	726	586
586	736	784
587	2485	294
588	0	50
589	84	135
590	426	610
591	426	294
592	46	610
593	671	610
594	2725	18
595	340	57
596	340	57
597	340	57
598	448	294
599	319	63
600	2485	294
601	618	63
602	1433	777
603	907	294
604	618	128
605	2722	18
606	2719	18
607	671	294
608	2717	18
609	22	50
610	2715	18
611	2714	18
612	2713	18
613	340	50
614	1592	777
615	444	329
616	1314	294
617	796	610
618	1592	777
619	2489	610
620	10	777
621	12	777
622	57	777
623	775	785
624	2485	610
625	1444	777
626	0	128
627	1101	777
628	1404	294
629	1303	777
630	1800	777
631	618	10
632	711	777
633	1321	294
634	796	610
635	1649	785
636	1229	294
637	340	50
638	1160	785
639	1814	776
640	506	219
641	390	219
642	2133	776
643	952	785
644	51	785
645	935	436
646	448	785
647	775	786
648	2730	18
649	230	786
650	1594	514
651	253	786
652	1168	786
653	1212	786
654	1431	127
655	2135	786
656	1929	675
657	2712	18
658	834	514
659	400	514
660	2198	127
661	1101	0
662	2663	127
663	255	776
664	1449	127
665	1431	127
666	1431	127
667	2428	127
668	2400	127
669	2430	127
670	1430	127
671	778	514
672	340	50
673	2429	749
674	701	749
675	1039	749
676	1324	386
677	887	675
678	334	675
679	1528	154
680	10	778
681	13	778
682	1696	675
683	102	778
684	2108	491
685	2580	675
686	214	778
687	1279	0
688	1757	778
689	2138	675
690	1279	128
691	2712	675
692	340	50
693	808	127
694	2651	675
695	2657	675
696	701	749
697	2624	675
698	82	749
699	694	749
700	1598	749
701	1948	675
702	480	468
703	0	24
704	2225	675
705	740	514
706	2235	675
707	2405	503
708	1482	503
709	2230	302
710	743	514
711	1971	675
712	1482	503
713	1786	302
714	1055	514
715	1684	591
716	1050	341
717	2691	87
718	340	39
719	300	50
720	340	39
721	509	637
722	129	637
723	777	637
724	1801	615
725	1801	615
726	1801	615
727	1801	615
728	892	637
729	556	50
730	773	219
731	2531	219
732	319	39
733	649	779
734	24	50
735	159	39
736	247	39
737	2712	18
738	2712	18
739	2388	386
740	2032	50
741	2461	386
742	1776	386
743	340	50
744	1885	87
745	1419	127
746	1892	127
747	983	154
748	1279	154
749	1117	154
750	319	50
751	2130	154
752	2130	154
753	457	154
754	360	154
755	2010	724
756	643	724
757	1885	87
758	1353	724
759	2130	128
760	399	724
761	2317	154
762	1365	128
763	2435	87
764	427	724
765	2531	135
766	2321	154
767	2200	724
768	1903	724
769	1647	724
770	2170	154
771	141	0
772	340	50
773	930	724
774	2321	0
775	2170	154
776	2170	154
777	976	724
778	1696	788
779	2106	219
780	2268	154
781	1696	788
782	2171	154
783	2131	0
784	2085	154
785	2130	0
786	1562	503
787	340	50
788	541	503
789	1843	789
790	1932	720
791	541	503
792	1334	154
793	2130	481
794	1681	341
795	1932	720
796	1153	720
797	2121	481
798	2130	481
799	340	50
800	1421	789
801	2144	203
802	2144	203
803	117	203
804	1912	203
805	279	503
806	707	503
807	340	50
808	2753	29
809	1421	789
810	1167	789
811	1590	18
812	163	580
813	40	127
814	791	127
815	1086	127
816	775	302
817	1650	127
818	583	127
819	1553	127
820	1542	237
821	1957	127
822	2589	127
823	2621	127
824	1279	0
825	2659	127
826	2559	127
827	2060	127
828	1443	224
829	2705	779
830	2705	783
831	340	50
832	340	50
833	618	440
834	1410	127
835	1315	127
836	814	127
837	619	127
838	2705	127
839	676	514
840	2577	127
841	777	514
842	2607	127
843	2611	127
844	1416	127
845	2531	779
846	1403	127
847	368	127
848	49	127
849	803	127
850	620	127
851	84	127
852	389	514
853	203	127
854	520	514
855	1899	645
856	2471	514
857	37	127
858	390	514
859	481	514
860	711	514
861	378	514
862	57	514
863	1004	514
864	2531	154
865	1001	514
866	799	717
867	892	514
868	2135	0
869	307	514
870	1434	777
871	1410	127
872	2621	127
873	2060	127
874	1804	481
875	1434	514
876	1592	777
877	2024	777
878	936	777
879	306	777
880	2024	777
881	1421	789
882	966	787
883	388	224
884	1443	224
885	907	745
886	1649	384
887	2361	745
888	1416	745
889	717	787
890	1845	792
891	1168	51
892	456	756
893	983	756
894	738	756
895	2130	756
896	2130	756
897	1416	745
898	2469	791
899	1928	791
900	741	791
901	1278	674
902	1278	674
903	1629	756
904	2448	756
905	1532	591
906	391	4
907	2526	791
908	175	51
909	243	29
910	1973	448
911	1368	642
912	1973	448
913	2726	448
914	126	620
915	1208	133
916	1208	133
917	875	133
918	875	112
919	662	562
920	924	562
921	1846	133
922	1416	745
923	1652	75
924	1845	133
925	46	300
926	2043	300
927	2463	543
928	1208	133
929	2419	561
930	2419	561
931	1395	133
932	2281	133
933	2223	795
934	2223	793
935	2221	793
936	2202	793
937	2181	0
938	2531	556
939	1969	793
